Text_ID,Source,Raw_Text,Sentiment,Entities,Topic
TXT_001,http://tapbots.com/software/tweetbot/mac,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Police search in the area; traffic stopped",Negative,LOCATION: Jeff; ORGANIZATION: Police,Assault / Violence
TXT_002,http://www.hootsuite.com,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacle Church. http://t.co/X67i7jajij,Negative,LOCATION: Monday shooting; ORGANIZATION: Police,Assault / Violence
TXT_003,http://twitter.com/tweetbutton,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes,Neutral,LOCATION: public via; ORGANIZATION: Police,Other
TXT_004,web,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96jCNY3wV #patriots #liberty,Negative,LOCATION: A Crime Scene; ORGANIZATION: Police,Assault / Violence
TXT_005,https://about.twitter.com/products/tweetdeck,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and murder http://t.co/SLuXLgbQbU",Negative,"LOCATION: stamp out, domestic violence; ORGANIZATION: Police",Assault / Violence
TXT_006,https://about.twitter.com/products/tweetdeck,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/w7ft9HW4Vx",Neutral,LOCATION: stamp out; ORGANIZATION: Police; DATE: Today,Other
TXT_007,https://about.twitter.com/products/tweetdeck,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl",Negative,ORGANIZATION: Police,Theft / Robbery
TXT_008,http://www.hootsuite.com,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. http://t.co/6Ld0Zs9h29 ^ws",Negative,"LOCATION: lack of, Pakistan become easy targets for crime",Other
TXT_009,http://twitter.com/tweetbutton,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ75Did,Negative,LOCATION: A Crime Scene; ORGANIZATION: Police,Assault / Violence
TXT_010,http://twitter.com/download/iphone,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimore. @baltimoresun http://t.co/A0TRUflAYl,Neutral,LOCATION: end the violent MJ trade,Other
TXT_011,http://twitter.com/tweetbutton,Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated raids in Redbridge http://t.co/ZWmE54jhBP,Neutral,LOCATION: co-ordinated raids; ORGANIZATION: Police,Other
TXT_012,http://bufferapp.com,#NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,Negative,LOCATION: a crime scene,Assault / Violence
TXT_013,http://dlvr.it,#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon Cornwall,Negative,ORGANIZATION: Police,Other
TXT_014,https://about.twitter.com/products/tweetdeck,BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,Negative,LOCATION: Badger Guns suit,Assault / Violence
TXT_015,http://twitter.com/tweetbutton,Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ2Obw1k via @MailOnline Just #crime fighters? Nope!!!,Negative,LOCATION: river,Other
TXT_016,http://twitter.com/download/android,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported rather than take responsibility like a go…,Negative,LOCATION: cry foul,Other
TXT_017,web,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,LOCATION: Delhi. Home minister; ORGANIZATION: Police,Other
TXT_018,web,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,LOCATION: Delhi. Home minister; ORGANIZATION: Police,Other
TXT_019,http://twitter.com/#!/download/ipad,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,LOCATION: Delhi. Home minister; ORGANIZATION: Police,Other
TXT_020,https://mobile.twitter.com,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking dru…,Negative,ORGANIZATION: Police,Other
TXT_021,web,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,LOCATION: Delhi. Home minister; ORGANIZATION: Police,Other
TXT_022,http://twicca.r246.jp/,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking dru…,Negative,ORGANIZATION: Police,Other
TXT_023,web,RT @DemandAction: #NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,Negative,LOCATION: a crime scene,Assault / Violence
TXT_024,web,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,LOCATION: Delhi. Home minister; ORGANIZATION: Police,Other
TXT_025,http://tweedleapp.com/,Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking drunk coming back home...,Negative,ORGANIZATION: Police,Other
TXT_026,http://twitterfeed.com,"India News Delhi Police arrests three  in Rs 8 cr heist, some cash recovered, mastermind absconding http://t.co/HiyzKtG4cN",Positive,LOCATION: Rs 8 cr heist; ORGANIZATION: Police,Other
TXT_027,http://twitterfeed.com,"India News Police sniffer dog's bark lands man in Mumbai jail for 10 years, High Court orders his release http://t.co/KAd6IIFW7r",Neutral,"LOCATION: High Court, Mumbai jail for 10 years; ORGANIZATION: Police",Other
TXT_028,web,Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blaming AAP.,Negative,LOCATION: Delhi. Home minister; ORGANIZATION: Police,Other
TXT_029,http://www.google.com/,I added a video to a @YouTube playlist http://t.co/cir6DgKsvp World's Scariest Police Chases 4 (Crime Documentary),Negative,LOCATION: a playlist World's Scariest; ORGANIZATION: Police,Other
TXT_030,http://dlvr.it,New #Legal Remedy Against Police Activities Within Criminal Investigations - Mondaq News Alerts (registration) http://t.co/S1XdGyPOUE,Neutral,ORGANIZATION: Police,Other
TXT_031,web,"Police seek witnesses to grass fires (Delahey  - VIC):
http://t.co/7OEdJQvhMi",Negative,LOCATION: grass fires; ORGANIZATION: Police,Fire / Arson
TXT_032,http://www.twitter.com,It's so shallow as for evry crime police is being blamed in #capital by govnment!they mean police has to b present ther b4 crime take place.,Negative,"LOCATION: capital by govnment, b present ther b4 crime take place",Other
TXT_033,http://www.royaltimes.net,Police swoop on kidnappers’ den in Onitsha - http://t.co/HeOoghHHKt http://t.co/AuQrW32iil,Neutral,LOCATION: Onitsha; ORGANIZATION: Police,Other
TXT_034,http://twitter.com/download/iphone,"RT @Gun_Shots: ""95% of the time police arrive too late to prevent a crime or arrest the suspect."" - US News and World Report, 17 June 1998",Negative,LOCATION: prevent a crime or arrest the suspect,Other
TXT_035,web,"@BansheeTvShow The entire police department, the bartender, the gay tech all were in the showdown but only Carrie is charged with a crime?",Negative,LOCATION: showdown,Other
TXT_036,web,"Police union wants lock out zones expanded:
http://t.co/hu8zOehB7G",Neutral,ORGANIZATION: Police,Other
TXT_037,http://twitterfeed.com,Alert issued in Petaluma after men posing as police enter woman's home:  http://t.co/Gq7RrjkwXs,Neutral,LOCATION: Petaluma,Other
TXT_038,http://twitter.com/download/iphone,Bay Area journos on crime beat: there are 4 police cars &amp; yellow tape at sunny spot med. MJ shop on 17th right now. Don't know what's up.,Negative,LOCATION: sunny spot med. MJ shop on 17th,Other
TXT_039,https://twitter.com/download/android,"RT @Darius_Suber95: Police are supposed to be fighting crime on the streets, not sitting in a hiding spot waiting to give someone a hoe ass…",Negative,"LOCATION: be fighting crime on the streets, a hiding spot waiting; ORGANIZATION: Police",Assault / Violence
TXT_040,http://winthecustomer.com/,"Peel #Police - Male Arrested on Attempt Murder Warrant http://t.co/tDQE83bFXX
 #crime",Negative,ORGANIZATION: Police,Assault / Violence
TXT_041,http://twitterfeed.com,Belmar named St. Louis County police chief http://t.co/MXbeCRaJ5K,Neutral,Unknown,Other
TXT_042,http://twitter.com/download/android,RT @geophyraj: Is Mr @ArvindKejriwal going to blame Delhi Police for every crime in the city? Then what was Shiela Dikshit's fault?,Negative,LOCATION: blame Delhi; ORGANIZATION: Police,Other
